hari,katun_target,katun_output,katun_productivity,katun_finish_good,katun_ng,katun_mh_actual,katun_mh_process,katun_gentani,katun_absensi,kusuma_target,kusuma_output,kusuma_productivity,kusuma_finish_good,kusuma_ng,kusuma_mh_actual,kusuma_mh_process,kusuma_gentani,kusuma_absensi,pouring_output,finishing_output,wip_total,katun_loss_pcs,kusuma_loss_pcs,plan_mh_katun,plan_mh_kusuma
h1,0,,,,,,,,,,,,,,,,,,,,,,,,
h2,2000,1992,75,1910,82,66,32,66,0,23777.86,2129,79,2064,65,90.33,90.33,0,0,0,0,6483,0,0,0,27.2
h3,10000,9807,75,9564,243,175,141,64,0,23777.86,8405,83,8191,214,165.73,128.23,71,3,0,4121,6483,0,1862.07,0,0
h4,23777.86,21668,76,20583,1085,434,354,72,3,23777.86,21695,91,21052,643,343.5,243.5,57,3,17018,18212,1168,1862.07,1862.07,0,127
h5,23777.86,23617,81,22700,917,423,337,65,2,23777.86,22184,90,21525,659,364,279,59,3,47512,43363,5317,1241,1862,430,390
h6,23777.86,24137,86,23395,742,428,348,64,1,23777.86,23468,89,22680,788,378,298,58,1,49522,45801,9038,621,621,430,390
h7,23777.86,24495,85,23746,749,424,341,62,1,23777.86,23873,88,23275,598,389,309,59,0,47486,47605,8919,621,0,430,390
h8,23777.86,22856,83,22216,640,428,348,67,0,23777.86,24899,88,24298,601,385,305,56,0,45952,48368,6503,0,0,430,390
h9,16000,15954,76,15507,447,265,265,0,0,23777.86,6024,71,5906,118,174,174,0,0,47682,47755,6430,0,0,130,127
h10,500,486,93,463,23,86,86,0,0,23777.86,0,0,0,0,40,40,0,0,21969,21978,6421,0,0,0,27
h11,23777.86,19895,83,19230,665,355,275,64,4,23777.86,24182,88,23560,622,398,318,59,2,0,486,5935,2483,1241,400,419
h12,23777.86,22557,87,21844,713,384,304,61,2,23777.86,24120,86,23457,663,398,318,59,1,45218,44077,7076,1241,621,400,419
h13,23777.86,20167,84,19630,537,373,293,67,4,23777.86,26225,90,25443,782,384,304,53,2,46570,46677,6969,2483,1241,400,419
h14,,,,,,,,,,,,,,,,,,,,,,,,,
h15,,,,,,,,,,,,,,,,,,,,,,,,,
h16,,,,,,,,,,,,,,,,,,,,,,,,,
h17,,,,,,,,,,,,,,,,,,,,,,,,,
h18,,,,,,,,,,,,,,,,,,,,,,,,,
h19,,,,,,,,,,,,,,,,,,,,,,,,,
h20,,,,,,,,,,,,,,,,,,,,,,,,,
h21,,,,,,,,,,,,,,,,,,,,,,,,,
h22,,,,,,,,,,,,,,,,,,,,,,,,,
h23,,,,,,,,,,,,,,,,,,,,,,,,,
h24,,,,,,,,,,,,,,,,,,,,,,,,,
h25,,,,,,,,,,,,,,,,,,,,,,,,,
h26,,,,,,,,,,,,,,,,,,,,,,,,,
h27,,,,,,,,,,,,,,,,,,,,,,,,,
h28,,,,,,,,,,,,,,,,,,,,,,,,,
h29,,,,,,,,,,,,,,,,,,,,,,,,,
h30,,,,,,,,,,,,,,,,,,,,,,,,,
h31,,,,,,,,,,,,,,,,,,,,,,,,,
total,218723,207631,82,200788,6843,3839,3122,65,17,285334,207204,79,201451,5753,3508,2806,59,15,368929,368443,6969,10552,9310,3050,3126
total_output_actual,414835,,,,,,,,,,,,,,,,,,,,,,,,
target_output,504057,,,,,,,,,,,,,,,,,,,,,,,,
achievement_%,80,,,,,,,,,,,,,,,,,,,,,,,,
productivity,62,,,,,,,,,,,,,,,,,,,,,,,,
total_manhour,7347,,,,,,,,,,,,,,,,,,,,,,,,
finish_good,407992,,,,,,,,,,,,,,,,,,,,,,,,
ng_rate,3.13,,,,,,,,,,,,,,,,,,,,,,,,
total_absensi,32,,,,,,,,,,,,,,,,,,,,,,,,
total_loss_pcs,19862,,,,,,,,,,,,,,,,,,,,,,,,
wip_aktual,6969,,,,,,,,,,,,,,,,,,,,,,,,
